state,x,y
Baja California,-340.0,146.0
Baja California Sur,-302.0,43.0
Sonora,-218.0,151.0
Chihuahua,-127.0,129.0
Coahuila,-23.0,76.0
Nuevo León,23.0,56.0
Tamaulipas,41.0,-16.0
Sinaloa,-153.0,22.0
Durango,-106.0,23.0
Zacatecas,-61.0,-20.0
Aguascalientes,-35.0,-51.0
San Luis Potosí,-2.0,-41.0
Nayarit,-106.0,-48.0
Jalisco,-86.0,-100.0
Colima,-79.0,-126.0
Michoacán,-40.0,-131.0
Guerrero,12.0,-167.0
Oaxaca,96.0,-189.0
Chiapas,199.0,-188.0
Veracruz,105.0,-129.0
Querétaro,23.0,-86.0
Hidalgo,43.0,-96.0
Tabasco,186.0,-145.0
Quintana Roo,297.0,-107.0
Yucatan,275.0,-66.0
Puebla,66.0,-140.0
Tlaxcala,69.0,-118.0
Morelos,45.0,-137.0
D.F.,42.0,-123.0
Edo.Mex.,27.0,-109.0
Campeche,257.0,-127.0
Guanajuato,0,0